municipality,name
Aspinwall Borough,Trip Oliver
Aspinwall Borough,Ann Marsico
Aspinwall Borough,Jennifer Evashavik
Aspinwall Borough,Ann Pawlikowski
Aspinwall Borough,Tim McLaughlin
Aspinwall Borough,Joseph Noro
Aspinwall Borough,Mark Ellermeyer
Baldwin Borough,John Eggers
Baldwin Borough,James Behers
Baldwin Borough,Chad Hurka
Baldwin Borough,Edward Moeller
Baldwin Borough,Francis Scott
Baldwin Borough,John Conley
Baldwin Borough,Michael Ducker
Baldwin Township,Cheryl Schuler
Baldwin Township,Sue Snyder
Baldwin Township,John Allen
Baldwin Township,Eileen Frisoli
Baldwin Township,Bob Downey
Bellevue Borough,Matthew Senvisky
Bellevue Borough,Thomas Fodi
Bellevue Borough,Linda Woshner
Bellevue Borough,Henry Lenard
Bellevue Borough,Vencent Menosky
Bellevue Borough,Grant Saylor
Bellevue Borough,Kathleen Coder
Bellevue Borough,Thomas Hrynda
Brentwood Borough,Stephanie Fox
Brentwood Borough,Harold Smith
Brentwood Borough,Pat Carnevale
Brentwood Borough,Bob Pasquantonio
Brentwood Borough,Rich Schubert
Brentwood Borough,A.J. Doyle
Carnegie Borough,Richard D'Loss
Carnegie Borough,Michael Sarsfield
Carnegie Borough,Phil Boyd
Carnegie Borough,Sue Demko
Carnegie Borough,Stacie L. Riley
Castle Shannon Borough,Timothy Kirsch
Castle Shannon Borough,Marian Randazzo
Castle Shannon Borough,Dan Swisher
Castle Shannon Borough,Michael Warhold
Castle Shannon Borough,William Oates
Churchill Borough,Kevin P. Collins
Churchill Borough,Monique C. Moore
Churchill Borough,David W. Riehl
Churchill Borough,Diana J. Yankes
Churchill Borough,Raymond G. Jurewicz
Churchill Borough,Diane E. Law
City of Clairton,R. A. Kurta
City of Clairton,Richard Ford
City of Clairton,Denise Johnson
Crafton Borough,Fred Amendola
Crafton Borough,Alice Glaser
Crafton Borough,Phillip Levasseur
Crafton Borough,Coletta Perry
Crafton Borough,David O'Brien
Crafton Borough,Marsha Damits
Dormont Borough,Joan Hodson
Dormont Borough,Robert Palmieri
Dormont Borough,Kate Abel
Dormont Borough,Daniele Ventresca
Dormont Borough,Drew Lehman
Dormont Borough,Jeff Fabus
Edgewood Borough,Justin Petrolla
Edgewood Borough,John F. Bright
Edgewood Borough,Jack Wilson
Edgewood Borough,Marc A. Wallace
Edgewood Borough,George Fuller
Edgewood Borough,John L. Wainright
Etna Borough,Karen Tomaszewski
Etna Borough,Bill O'Dell
Etna Borough,David Farmerie
Etna Borough,Ron Trader
Etna Borough,"Rudy Milcic, Jr."
Etna Borough,Edward Burke
Etna Borough,David Becki
Etna Borough,Greg Porter
Forest Hills Borough,Nina Sowiski
Forest Hills Borough,John Lawrence
Forest Hills Borough,Patricia DeMarco
Forest Hills Borough,William Burleigh
Forest Hills Borough,William Tomasic
Forest Hills Borough,James Kiley
Green Tree Borough,Rino Lindsey
Green Tree Borough,John Novak
Green Tree Borough,Ron Panza
Green Tree Borough,David Rea
Green Tree Borough,Arthur Tintori
Green Tree Borough,David Lorenzini
Homestead Borough,Drew Borcik
Homestead Borough,Lynette Mariner
Homestead Borough,Rev. Louise Benton
Homestead Borough,Rev. Donald Turner
Homestead Borough,Barbara Broadwater
Homestead Borough,Wanda Burwell
Ingram Borough,Don Bennett
Ingram Borough,Greg Butler
Ingram Borough,Joe Chesno
Ingram Borough,Jerry Ellis
Ingram Borough,Samantha Wilfert
Ingram Borough,Richard Nucci
Ingram Borough,Karen Dixon
Kennedy Township,Anita Kulik
Kennedy Township,Mitch Galiyas
Kennedy Township,Vince DePascale
Kennedy Township,Chris DiNardo
McKees Rocks Borough,Craig Meyers
Millvale Borough,Bill Stout
Millvale Borough,Jack Varley
Millvale Borough,Jason Miller
Millvale Borough,Brian Spoales
Millvale Borough,Al Atkinson
Millvale Borough,Brian Wolovich
Mount Lebanon,Stephen McLean
Mount Lebanon,Kelly Fraasch
Mount Lebanon,John Bendel
Mount Lebanon,Steve Silverman
Mount Lebanon,David Brumfield
Mount Oliver Borough,David Beltz
Mount Oliver Borough,David Lowe
Mount Oliver Borough,Christina Reft
Mount Oliver Borough,Justin Viale
Mount Oliver Borough,Nick Viglione
Mount Oliver Borough,Barbara Keener
Munhall Borough,Richard Votedian
Munhall Borough,Jason Stein
Munhall Borough,Jill Fleming-Salopek
Munhall Borough,John Tichon
Munhall Borough,Harvey Inglis
Munhall Borough,Rick Brennan
O'Hara Township,Allison Garcia
O'Hara Township,John R. Denny
O'Hara Township,Cassandra Eccles
O'Hara Township,Scott Frankowski
O'Hara Township,Charles A. Vogel
O'Hara Township,Robert John Smith
O'Hara Township,Mark F. Rothert
Penn Hills Municipality,Catherine R. Sapp
Penn Hills Municipality,Gary N. Underwood
Penn Hills Municipality,Mark A. Brodnicki
Pittsburgh,Deb Gross
Pittsburgh,Theresa Kail-Smith
Pittsburgh,Dan Gilman
Pittsburgh,Natalia Rudiak
Pittsburgh,Corey O'Connor
Pittsburgh,Robert Daniel Lavelle
Pittsburgh,Darlene Harris
Pittsburgh,Bruce A. Kraus
Pittsburgh,Reverend Ricky Burgess
Reserve Township,Dan Geibel
Reserve Township,John Kaib
Reserve Township,Gary Killmeyer
Reserve Township,Bill Stalter
Robinson Township,James Barefoot
Robinson Township,James Mancini
Robinson Township,Ronald Shiwarski
Robinson Township,Kenneth Kisow
Ross Township,Pat Mullin
Ross Township,Steve Korbel
Ross Township,Jack Betkowski
Ross Township,Lana Mazur
Ross Township,Grace Stanko
Ross Township,David Mikec
Ross Township,Daniel DeMarco
Ross Township,Rick Avon
Ross Township,Jeremy Shaffer
Rosslyn Farms Borough,Tina Stacy
Rosslyn Farms Borough,David Robb
Rosslyn Farms Borough,Daniel Harkins
Rosslyn Farms Borough,Stephen George
Rosslyn Farms Borough,Nate Prepelka
Rosslyn Farms Borough,Patrick McNamara
Rosslyn Farms Borough,Gerald Bell
Scott Township,Frank W. Bruckner
Scott Township,William E. Wells
Scott Township,Patricia A. Caruso
Scott Township,David G. Calabria
Scott Township,Thomas M. Castello
Scott Township,David A. Jason
Scott Township,Eileen L. Meyers
Scott Township,Stacey A. Altman
Scott Township,Donald W. Giudici
Shaler Township,William R. Cross
Shaler Township,Lori Voegtly Mizorski
Shaler Township,Thomas McElhone
Shaler Township,Susan Fisher
Shaler Township,James Boyle
Shaler Township,Wayne Skelley
Shaler Township,David Shutter
Sharpsburg Borough,Lawrence Trozzo
Sharpsburg Borough,Matthew V. Rudzki
Sharpsburg Borough,Gregory P. Domian
Sharpsburg Borough,Adrianne Laing
Sharpsburg Borough,Brittany Reno
Sharpsburg Borough,Karen Pilarski-Pastor
Sharpsburg Borough,Louis Costanzo
Stowe Township,Glenn Putas
Stowe Township,Robin Parrilla
Stowe Township,"Frank Zieger, Jr."
Stowe Township,Ray Puskar
Stowe Township,Kelly Cropper Hall
Stowe Township,Josephy Faloshey
Stowe Township,Stanley Papst
Stowe Township,Cheryl McDermott
Stowe Township,William Hoffman
Swissvale Borough,Tim Ward
Swissvale Borough,David Petrarca
Swissvale Borough,Patricia L. Gionta
Swissvale Borough,Julie A. Grose
Swissvale Borough,Darrell Rapp
Swissvale Borough,Michele K Stanton
Swissvale Borough,Martin Busch
West Homestead Borough,John Karafa
West Homestead Borough,Joseph Baran
West Homestead Borough,Robert Cherep
West Homestead Borough,David Harhai
West Homestead Borough,Margaret Holder
West Homestead Borough,William Stasko
West Homestead Borough,Ashley Cain
