library_name,street_address,address_city,state,zip_code,web_site,contact,blank
Allegheny,1230 Federal Street,Pittsburgh,PA,15212,http://www.carnegielibrary.org,412.237.1890,
Andrew Bayne Memorial Library,34 North Balph Avenue,Pittsburgh,PA,15202,http://www.baynelibrary.org,412.766.7447,
Andrew Carnegie Free Library,300 Beechwood Avenue,Carnegie,PA,15106,http://www.carnegiecarnegie.org,412.276.3456,
Avalon Public Library,317 South Home Avenue,Pittsburgh,PA,15202,http://www.avalonlibrary.org,412.761.2288,
Baldwin Borough Public Library,41 Macek Drive,Pittsburgh,PA,15227,http://www.baldwinborolibrary.org,412.885.2255,
Beechview,1910 Broadway Avenue,Pittsburgh,PA,15216,http://www.carnegielibrary.org,412.563.2900,
Braddock Carnegie Library,419 Library Street,Braddock,PA,15104,http://www.braddocklibrary.org,412.351.5357,
Brentwood Library,3501 Brownsville Road,Pittsburgh,PA,15227,http://www.brentwoodpubliclibrary.org,412.882.5694,
Brookline,708 Brookline Blvd.,Pittsburgh,PA,15226,http://www.carnegielibrary.org,412.561.1003,
Carnegie Free Library of Swissvale,1800 Monongahela Avenue,Pittsburgh,PA,15218,http://www.swissvalelibrary.org,412.731.2300,
Carnegie Library of Homestead,510 East 10th Avenue,Munhall,PA,15120,http://www.mckeesportlibrary.org,412.672.0625,
Carrick,1811 Brownsville Rd,Pittsburgh,PA,15210,http://www.carnegielibrary.org,412.882.3897,
CC Mellor Memorial Library,1 Pennwood Avenue,Pittsburgh,PA,15218,http://www.ccmellorlibrary.org,412.731.0909,
Community Library Of Castle Shannon,677 Myrtle Avenue,Pittsburgh,PA,15234,http://www.castleshannonlibrary.org,412.563.4552,
Crafton Public Library,140 Bradford Avenue,Pittsburgh,PA,15205,http://www.craftonpubliclibrary.com,412.922.6877,
Dormont Public Library,2950 West Liberty Avenue,Pittsburgh,PA,15216,http://www.dormontlibrary.org,412.531.8754,
Downtown & Business,612 Smithfield St.,Pittsburgh,PA,15222,http://www.carnegielibrary.org,412.281.7141,
East Liberty,130S Whitfield St.,Pittsburgh,PA,15206,http://www.carnegielibrary.org,412.363.8232,
F.O.R. Sto-Rox Library,500 Chartiers Avenue,McKees Rocks,PA,15136,http://www.storoxlibrary.org,412.771.1222,
Green Tree Public Library,10 West Manilla Avenue,Pittsburgh,PA,15220,http://www.greentreelibrary.org,412-921-9292,
Hazelwood,5006 Second Ave.,Pittsburgh,PA,15207,http://www.carnegielibrary.org,412.421.2517,
Hill District,2177 Centre Ave.,Pittsburgh,PA,15219,http://www.carnegielibrary.org,412.281.3753,
Homewood,7101 Hamilton Ave.,Pittsburgh,PA,15208,http://www.carnegielibrary.org,412.731.3080,
Knoxville,400 Brownsville Rd.,Pittsburgh,PA,15210,http://www.carnegielibrary.org,412.381.6543,
Lawrenceville,279 Fisk St.,Pittsburgh,PA,15201,http://www.carnegielibrary.org,412.682.3668,
Library for the Blind & Physically Handicapped,4724 Baum Blvd,Pittsburgh,PA,15213,http://www.carnegielibrary.org,412.687.2440,
Main Library,4400 Forbes Avenue,Pittsburgh,PA,15213,http://www.carnegielibrary.org,412.622.3114,
Mount Washington,315 Grandview Ave,Pittsburgh,PA,15211,http://www.carnegielibrary.org,412.381.3380,
Penn Hills Library,1037 Stotler Road,Pittsburgh,PA,15235,http://www.pennhillslibrary.org,412.795.3507,
Pleasant Hills Public Library,302 Old Clairton Road,Pittsburgh,PA,15236,http://www.pleasanthillslibrary.org,412.655.2424,
Robinson Township Library,1000 Church Hill Road,Pittsburgh,PA,15205,http://www.robinsonlibrary.org,412.787.3906,
Scott Township Public Library,301 Lindsay Road,Carnegie,PA,15106,http://www.scottlibrary.org,412.429.5380,
Shaler North Hills Library,1822 Mount Royal Boulevard,Glenshaw,PA,15116,http://www.shalerlibrary.org,412.486.0211,
Sharpsburg Community Library,1212 Main St,Pittsburgh,PA,15215,http://www.coopersiegelcommunitylibrary.org,412.781.0783,
Sheraden,720 Sherwood Ave.,Pittsburgh,PA,15204,http://www.carnegielibrary.org,412.331.1135,
South Fayette Township Library,515 Millers Run Road,Morgan,PA,15064,http://www.southfayettelibrary.org,412.257.8660,
South Side,2205 East Carson St.,Pittsburgh,PA,15203,http://www.carnegielibrary.org,412.431.0505,
Springdale Free Public Library,331 School Street,Springdale,PA,15144,http://www.springdalepubliclibrary.org,724.274.9729,
Squirrel Hill,5801 Forbes Ave.,Pittsburgh,PA,15217,http://www.carnegielibrary.org,412.422.9650,
Upper St. Clair Township Library,1820 McLaughlin Run Road,Pittsburgh,PA,15241,http://www.twpusc.org/library/library-home,412.835.5540,
West End,47 Wabash St.,Pittsburgh,PA,15220,http://www.carnegielibrary.org,412.921.1717,
Whitehall Public Library,100 Borough Park Drive,Pittsburgh,PA,15236,http://www.whitehallpubliclibrary.org,412.882.6622,
Wilkinsburg Public Library,605 Ross Avenue,Pittsburgh,PA,15221,http://www.wilkinsburglibrary.org,412.244.2940,
Woods Run,1201 Woods Run Ave.,Pittsburgh,PA,15212,http://www.carnegielibrary.org,412.761.3730,
