municipality,municode,cog,congressional_district,municipal_web_site,mayor,manager_or_secretary,manager_contact,school_district,state_house_district,state_senate_district,county_council_district,municipal_address,municipal_city,municipal_zip_code,fire_department,police_station,ems_agency,watershed,WatershedAssociation
Aspinwall Borough,801,Allegheny Valley North,18,http://www.aspinwallpa.com/,Joseph Giuffre,Melissa Lang O'Malley,Melissa@boroughofaspinwall.com,Fox Chapel Area School District,21,38,3,217 Commercial Avenue,Aspinwall,15215,Aspinwall Volunteer Fire Department,Aspinwall Police Department,Foxwall EMS,Upper Allegheny,
Baldwin Borough,877,South Hills Area,18,https://www.baldwinborough.org/,David Depretis,John Barrett,jbarrett@baldwinborough.org,Baldwin-Whitehall School District,36,45,6,3344 Churchview Avenue,Baldwin,15227,"Baldwin #1 Volunteer Fire Department, South Baldwin Volunteer Fire Department",Baldwin Borough Police Department,"Baldwin EMS - Station 510, Baldwin EMS - Station 510-2",Upper Monongahela,
Baldwin Township,902,South Hills Area,18,http://www.baldwintownship.com/,N/A,Rob Zahorchak,rob.zahorchak@baldwintownship.com,Baldwin-Whitehall School District,42,42,6,10 Community Park Drive,Baldwin,15234,Castle Shannon Volunteer Fire Department,Castle Shannon Police Department,Medical Rescue Team South Authority,Saw Mill Run,
Bellevue Borough,803,Quaker Valley,14,https://www.bellevuepa.org/,Paul Cusick,Ronald Borczyk,borczyk@bellevueboro.com,Northgate School District,20,42,13,537 Bayne Avenue,Bellevue,15202,Bellevue Volunteer Fire Department,Bellevue Police Department,Northwest EMS,Lower Ohio - Girty's Run,
Brentwood Borough,810,South Hills Area,18,http://brentwoodboro.com/,Dennis Troy,George Zboyovsky,http://www.brentwoodboro.com/index.php/borough-contacts/12-borough-contacts/8-george-zboyovsky,Brentwood Borough School District,36,45,6,3624 Brownsville Road,Brentwood,15227,Brentwood Volunteer Fire Department,Brentwood Police Department,Brentwood EMS,"Saw Mill Run, Upper Monongahela",
Carnegie Borough,812,Char-West,18,http://carnegieborough.com/,Jack Kobistek,Stephen Beuter,sbeuter.carnegieboro@comcast.net,Carlynton School District,45,42,4,One Veterans Way,Carnegie,15106,Carnegie Volunteer Fire Department,Carnegie Police Department,Carnegie Volunteer Fire and Rescue Bureau,Chartiers Creek,
Castle Shannon Borough,813,South Hills Area,18,http://borough.castle-shannon.pa.us/,Donald J. Baumgarten,Thomas C. Hartswick,t.hartswick@comcast.net,Keystone Oaks School District,42,42,6,3310 McRoberts Road,Castle Shannon,15234,Castle Shannon Volunteer Fire Department,Castle Shannon Police Department,Medical Rescue Team South Authority,Saw Mill Run,
Churchill Borough,816,Turtle Creek Valley,18,http://www.churchillborough.com/,Paul McKenna,Donna J. Perry,donna@churchillborough.com,Woodland Hills School District,34,43,7,2298 William Penn Highway,Pittsburgh,15235,Churchill Volunteer Fire Department,Churchill Police Department,Woodland Hills EMS,Turtle Creek - Thompson Run,
City of Clairton,200,Steel Rivers,18,http://cityofclairton.com/,Rich Lattanzi,Howard Bednar,Phone: 412-233-8123,Clairton City School District,35,45,4,551 Ravensburg Boulevard,Clairton,15025,Clairton Volunteer Fire Department,Clairton Police Department,McKeesport Ambulance Rescue Service,Peter's Creek,
Crafton Borough,818,Char-West,14,http://crafton.org/,James G. Bloom,Ann Scott,ascott@craftonborough.com,Carlynton School District,27,42,4,100 Stotz Avenue,Crafton,15205,Crafton Volunteer Fire Department,Crafton Police Department,Robinson EMS,Chartiers Creek,
Dormont Borough,819,South Hills Area,18,http://boro.dormont.pa.us/,Phil Ross,Benjamin Estell,bestell@boro.dormont.pa.us,Keystone Oaks School District,42,42,12,1444 Hillsdale Avenue,Dormont,15216,Dormont Volunteer Fire Department,Dormont Police Department,Medical Rescue Team South Authority,Saw Mill Run,
Edgewood Borough,823,Quaker Valley,14,http://www.edgewood.pgh.pa.us/,J. Edward Cook,Julie Bastianini,manager@edgewoodboro.com,Woodland Hills School District,34,43,8,2 Race Street,Edgewood,15218,Edgewood Volunteer Fire Department,Edgewood Police Department,Eastern Area Prehospital Services,Upper Monongahela,
Etna Borough,827,North Hills,18,http://www.etnaborough.org/,Thomas Rengers,Mary Ellen Ramage,meramage@etnaborough.org,Shaler Area School District,21,38,3,437 Butler Street,Etna,15223,Etna Volunteer Fire Department,Etna Police Department,Seneca Area EMS,Upper Allegheny,
Forest Hills Borough,828,Turtle Creek Valley,18,https://www.foresthillspa.org/,"Frank Porco, Jr.",Steve Morus,manager@foresthillspa.com,Woodland Hills School District,34,43,10,2071 Ardmore Blvd,Pittsburgh,15221,Forest Hills Volunteer Fire Department,Forest Hills Police Department,Woodland Hills EMS,Turtle Creek - Thompson Run,
