fid,district,rep_last_name,rep_first_name,rep_suffix,Concat,rep_home_county,rep_party,blank
1,16,Matzie,Robert F.,,Robert F. Matzie,Beaver,D,
2,19,Wheatley,Jake,Jr.,Jake Wheatley,Allegheny,D,
3,20,Ravenstahl,Adam J.,,Adam J. Ravenstahl,Allegheny,D,
4,21,Costa,Dominic J.,,Dominic J. Costa,Allegheny,D,
5,23,Frankel,Dan B.,,Dan B. Frankel,Allegheny,D,
6,24,Gainey,Ed,,Ed Gainey,Allegheny,D,
7,25,Markosek,Joseph F.,,Joseph F. Markosek,Allegheny,D,
8,27,Deasy,Daniel J.,Jr.,Daniel J. Deasy,Allegheny,D,
9,28,Turzai,Mike,,Mike Turzai,Allegheny,R,
10,30,English,Harold A.,,Harold A. English,Allegheny,R,
11,32,DeLuca,Anthony M.,,Anthony M. DeLuca,Allegheny,D,
12,33,Dermody,Frank J.,,Frank J. Dermody,Allegheny,D,
13,34,Costa,Paul,,Paul Costa,Allegheny,D,
14,35,Gergely,Marc J.,,Marc J. Gergely,Allegheny,D,
15,36,Readshaw,Harry A.,III,Harry A. Readshaw,Allegheny,D,
16,38,Kortz,William C.,II,William C. Kortz,Allegheny,D,
17,39,Saccone,Rick,,Rick Saccone,Allegheny,R,
18,40,Maher,John A.,,John A. Maher,Allegheny,R,
19,42,Miller,Daniel L.,,Daniel L. Miller,Allegheny,D,
20,44,Mustio,Mark,,Mark Mustio,Allegheny,R,
21,45,Kotik,Nickolas M.,,Nickolas M. Kotik,Allegheny,D,
22,46,Ortitay,Jason A.,,Jason A. Ortitay,Allegheny,R,
23,54,Evankovich,Eli,,Eli Evankovich,Westmoreland,R,
